leanos-serial-protocol	1
source-revision	26dda8e6c600df9d90770b14189a7cd6ab86fc4c
pre-admission-record	21	VTD-ASSIGN
pre-admission-record	21	VTD-ACTIVATE
pre-admission-reason	j1900-cpu-profile
pre-admission-reason	j1900-msr-readback
pre-admission-reason	qotom-platform-pending
pre-admission-reason	qotom-pci-enumeration
pre-admission-reason	dma-command-model
pre-admission-reason	dma-command-readback
pre-admission-reason	dma-empty-inventory
pre-admission-reason	dma-global-policy
pre-admission-reason	dma-identity
pre-admission-reason	dma-inventory
pre-admission-reason	dma-q35-nic-none
pre-admission-reason	dma-required-missing
pre-admission-bootalloc-reason	authority-init
pre-admission-bootalloc-reason	authority-rejected
pre-admission-bootalloc-reason	bounds
pre-admission-bootalloc-reason	decode-incomplete
pre-admission-bootalloc-reason	decode-init
pre-admission-bootalloc-reason	decode-rejected
pre-admission-bootalloc-reason	frame-budget-projection-authority
pre-admission-bootalloc-reason	frame-budget-unpublished-frame
pre-admission-bootalloc-reason	magic
pre-admission-bootalloc-reason	pointer
pre-admission-bootalloc-reason	projection-authority
pre-admission-bootalloc-reason	projection-entry
pre-admission-bootalloc-reason	projection-entry-count
pre-admission-bootalloc-reason	projection-mutation-raw-selection
pre-admission-bootalloc-reason	projection-terminal
pre-admission-bootalloc-reason	publication
pre-admission-bootalloc-reason	raw-selection-authority
pre-admission-bootalloc-reason	scrub
pre-admission-bootalloc-reason	stream-incomplete
pre-admission-bootalloc-reason	stream-init
pre-admission-bootalloc-reason	stream-step
pre-admission-bootalloc-reason	topology-admission-publication
pre-admission-bootalloc-reason	topology-admission-result
pre-admission-bootalloc-reason	topology-cpuid-apic
pre-admission-bootalloc-reason	topology-cpuid-leaf
pre-admission-bootalloc-reason	topology-handoff-length
pre-admission-bootalloc-reason	topology-madt-duplicate
pre-admission-bootalloc-reason	topology-madt-generated-entries
pre-admission-bootalloc-reason	topology-madt-generated-envelope
pre-admission-bootalloc-reason	topology-madt-missing
pre-admission-bootalloc-reason	topology-madt-selection
pre-admission-bootalloc-reason	topology-qotom-admission-result
pre-admission-bootalloc-reason	topology-qotom-bsp-consumer
pre-admission-bootalloc-reason	topology-qotom-cpuid-leaf
pre-admission-bootalloc-reason	topology-qotom-interrupt-window
pre-admission-bootalloc-reason	topology-qotom-madt-length
pre-admission-bootalloc-reason	topology-qotom-same-cpu
pre-admission-bootalloc-reason	topology-root-copy
pre-admission-bootalloc-reason	topology-root-entries
pre-admission-bootalloc-reason	topology-root-entry-address
pre-admission-bootalloc-reason	topology-root-entry-duplicate
pre-admission-bootalloc-reason	topology-root-entry-index
pre-admission-bootalloc-reason	topology-root-header
pre-admission-bootalloc-reason	topology-root-kind
pre-admission-bootalloc-reason	topology-root-selection
pre-admission-bootalloc-reason	topology-root-vector
pre-admission-bootalloc-reason	topology-root-width
pre-admission-bootalloc-reason	topology-sdt-address
pre-admission-bootalloc-reason	topology-sdt-address-space
pre-admission-bootalloc-reason	topology-sdt-address-width
pre-admission-bootalloc-reason	topology-sdt-checksum
pre-admission-bootalloc-reason	topology-sdt-envelope
pre-admission-bootalloc-reason	topology-sdt-length
pre-admission-bootalloc-reason	topology-sdt-window
pre-admission-bootalloc-reason	topology-table-copy-address
pre-admission-bootalloc-reason	topology-table-copy-binding
